Voter_ID,State,Region,Age,Gender,Education_Level,Occupation,Income_Bracket,Polling_Station_Type,Party_Preference,Voted,Satisfaction_with_Government,Satisfaction_with_Local_Representative,Key_Issue,Is_First_Time_Voter,Predicted_Winner,Has_Voter_ID,Distance_to_Polling_Station_km,Time_Spent_in_Queue_minutes,Weather_on_Polling_Day,Social_Media_Influence,Voter_Satisfaction_Score
VOTER_1,Rajasthan,Central,69,Male,No Schooling,Retired,Low,Rural,Party B,Yes,1,1,Crime,No,Party A,Yes,15.42,98,Cloudy,3,8.8
VOTER_2,West Bengal,Central,32,Other,No Schooling,Unemployed,High,Urban,Party D,No,3,2,Infrastructure,No,Party B,No,5.97,10,Rainy,2,5.9
VOTER_3,West Bengal,West,78,Male,No Schooling,Farmer,Middle,Urban,Party E,Yes,4,1,Healthcare,No,Party D,No,22.09,86,Cloudy,3,7.7
VOTER_4,Uttar Pradesh,South,38,Female,Primary,Doctor,Middle,Rural,Party D,Yes,2,2,Infrastructure,Yes,Party A,Yes,22.73,102,Cloudy,5,6.7
VOTER_5,Andhra Pradesh,East,41,Male,No Schooling,Business,High,Urban,Party D,No,4,4,Education,Yes,Party B,Yes,21.95,169,Rainy,2,5.3
VOTER_6,Bihar,West,20,Male,Post Graduate,Teacher,High,Rural,Party C,Yes,3,5,Women Safety,Yes,Party E,No,20.22,97,Sunny,5,2.9
VOTER_7,Madhya Pradesh,West,39,Female,No Schooling,Laborer,Low,Urban,Party C,Yes,2,1,Infrastructure,Yes,Party B,Yes,6.4,91,Rainy,5,5.7
VOTER_8,Madhya Pradesh,North,70,Female,Secondary,Doctor,Middle,Rural,Party C,No,4,2,Infrastructure,No,Party C,No,13.98,97,Sunny,2,4.4
VOTER_9,West Bengal,North,19,Male,Secondary,Homemaker,Upper Middle,Rural,Party E,Yes,2,3,Education,Yes,Party B,No,0.68,11,Cloudy,5,2.8
VOTER_10,Rajasthan,North,47,Male,Post Graduate,Laborer,High,Urban,Party D,No,3,2,Unemployment,No,Party C,Yes,15.81,150,Cloudy,2,7.7
VOTER_11,Andhra Pradesh,West,55,Female,No Schooling,Engineer,Middle,Rural,Party A,No,5,1,Crime,No,Party A,No,11.02,159,Sunny,3,9.2
VOTER_12,Andhra Pradesh,South,19,Male,Primary,Student,Upper Middle,Urban,Party A,Yes,3,4,Unemployment,Yes,Party C,No,5.12,102,Rainy,1,3.4
VOTER_13,West Bengal,East,81,Other,Post Graduate,Homemaker,Upper Middle,Urban,Party D,No,1,5,Crime,Yes,Party A,No,20.28,29,Sunny,3,8.6
VOTER_14,Rajasthan,East,77,Female,Graduate,Unemployed,Middle,Urban,Party E,Yes,2,3,Unemployment,No,Party B,No,17.95,66,Cloudy,4,3.9
VOTER_15,Tamil Nadu,Central,38,Other,Primary,Business,Upper Middle,Urban,Party A,Yes,3,1,Women Safety,No,Party A,No,23.41,124,Cloudy,3,7.5
VOTER_16,Tamil Nadu,West,50,Other,Graduate,Teacher,Middle,Urban,Party A,No,5,4,Infrastructure,No,Party E,No,11.44,35,Rainy,2,7.2
VOTER_17,Madhya Pradesh,North,75,Male,Secondary,Engineer,Upper Middle,Urban,Party B,Yes,5,2,Agriculture,No,Party B,Yes,18.9,69,Rainy,2,4.6
VOTER_18,Karnataka,East,39,Other,No Schooling,Doctor,Upper Middle,Rural,Party D,No,3,4,Unemployment,Yes,Party E,No,1.63,19,Sunny,4,3.9
VOTER_19,Gujarat,South,66,Female,Higher Secondary,Engineer,Low,Rural,Party D,Yes,4,4,Crime,Yes,Party A,No,8.52,140,Cloudy,1,8.2
VOTER_20,Gujarat,South,76,Female,Graduate,Homemaker,High,Rural,Party A,No,3,5,Agriculture,Yes,Party C,Yes,13.33,107,Sunny,4,6.0
VOTER_21,Tamil Nadu,West,59,Female,Post Graduate,Laborer,Low,Rural,Party D,No,5,1,Education,Yes,Party C,Yes,10.22,145,Rainy,3,8.6
VOTER_22,Madhya Pradesh,South,77,Male,No Schooling,Student,Upper Middle,Urban,Party E,No,3,4,Crime,No,Party B,No,18.24,155,Rainy,2,8.3
VOTER_23,Uttar Pradesh,Central,32,Female,Post Graduate,Student,Upper Middle,Rural,Party B,Yes,1,2,Crime,Yes,Party E,No,1.38,39,Cloudy,3,1.5
VOTER_24,Bihar,West,79,Male,Secondary,Farmer,Low,Urban,Party E,Yes,4,2,Women Safety,Yes,Party A,Yes,2.91,66,Cloudy,3,9.8
VOTER_25,Karnataka,West,79,Male,No Schooling,Retired,Middle,Rural,Party C,No,3,5,Corruption,No,Party C,Yes,3.35,177,Rainy,1,9.8
VOTER_26,Uttar Pradesh,Central,64,Male,Post Graduate,Engineer,Low,Rural,Party B,No,5,4,Corruption,No,Party E,No,11.29,24,Cloudy,2,8.9
VOTER_27,Uttar Pradesh,Central,79,Male,No Schooling,Teacher,Low,Urban,Party D,No,3,2,Agriculture,Yes,Party B,No,15.96,38,Cloudy,3,9.7
VOTER_28,Karnataka,South,68,Male,Higher Secondary,Doctor,Middle,Rural,Party A,No,3,2,Agriculture,Yes,Party C,Yes,21.68,122,Cloudy,1,2.1
VOTER_29,Rajasthan,North,72,Female,Graduate,Homemaker,High,Rural,Party C,No,2,5,Women Safety,No,Party D,Yes,12.15,167,Rainy,1,1.9
VOTER_30,Maharashtra,East,81,Female,No Schooling,Business,Upper Middle,Urban,Party A,No,3,4,Corruption,Yes,Party B,Yes,6.21,112,Rainy,4,5.9
VOTER_31,Tamil Nadu,West,20,Other,Post Graduate,Laborer,Middle,Rural,Party D,No,1,5,Agriculture,Yes,Party B,Yes,24.31,17,Cloudy,1,9.1
VOTER_32,Gujarat,West,68,Other,Graduate,Homemaker,Middle,Rural,Party E,Yes,5,4,Agriculture,No,Party B,No,22.32,176,Sunny,2,3.3
VOTER_33,Karnataka,East,24,Other,Graduate,Teacher,Low,Rural,Party E,Yes,2,2,Healthcare,Yes,Party B,No,14.8,82,Rainy,3,4.2
VOTER_34,Tamil Nadu,South,38,Female,Primary,Business,High,Rural,Party C,No,3,1,Infrastructure,Yes,Party E,No,19.82,102,Rainy,4,1.1
VOTER_35,Maharashtra,East,56,Female,Higher Secondary,Laborer,Middle,Rural,Party E,No,4,2,Healthcare,Yes,Party E,Yes,19.42,157,Sunny,1,7.9
VOTER_36,Bihar,North,35,Other,Secondary,Laborer,High,Urban,Party A,Yes,1,1,Infrastructure,Yes,Party A,Yes,5.26,30,Sunny,5,2.5
VOTER_37,Bihar,South,21,Other,Post Graduate,Retired,High,Urban,Party A,Yes,1,4,Crime,Yes,Party A,Yes,7.61,93,Rainy,4,8.5
VOTER_38,Gujarat,West,77,Other,Primary,Homemaker,High,Urban,Party E,Yes,1,4,Agriculture,No,Party A,Yes,3.87,57,Sunny,3,1.2
VOTER_39,Gujarat,East,31,Male,Secondary,Teacher,Upper Middle,Urban,Party B,No,2,3,Women Safety,No,Party B,No,9.6,111,Rainy,3,5.8
VOTER_40,Madhya Pradesh,East,26,Other,Primary,Teacher,Upper Middle,Rural,Party A,Yes,3,4,Unemployment,No,Party A,No,21.03,93,Cloudy,5,4.9
VOTER_41,Madhya Pradesh,South,70,Male,Graduate,Farmer,Middle,Rural,Party E,No,1,4,Agriculture,Yes,Party B,No,24.94,24,Rainy,3,4.7
VOTER_42,Karnataka,West,19,Male,No Schooling,Retired,Low,Urban,Party A,Yes,3,3,Infrastructure,Yes,Party E,Yes,4.04,152,Rainy,2,5.2
VOTER_43,Bihar,East,77,Male,Post Graduate,Teacher,Low,Rural,Party E,No,4,1,Corruption,Yes,Party A,Yes,5.28,121,Cloudy,3,6.8
VOTER_44,Gujarat,Central,61,Female,Graduate,Unemployed,Low,Rural,Party A,No,3,4,Infrastructure,Yes,Party D,No,22.92,55,Sunny,2,6.0
VOTER_45,Madhya Pradesh,East,25,Female,Post Graduate,Farmer,High,Rural,Party E,Yes,3,5,Corruption,Yes,Party D,Yes,3.91,58,Sunny,3,1.5
VOTER_46,Gujarat,East,64,Male,No Schooling,Laborer,Middle,Urban,Party E,No,3,4,Crime,No,Party B,No,20.74,80,Cloudy,1,8.4
VOTER_47,Andhra Pradesh,North,52,Other,No Schooling,Retired,Middle,Rural,Party B,No,5,4,Crime,No,Party B,No,13.06,32,Rainy,3,9.4
VOTER_48,Gujarat,North,53,Male,Primary,Retired,Upper Middle,Urban,Party E,Yes,2,2,Unemployment,No,Party D,Yes,4.65,49,Cloudy,5,4.0
VOTER_49,West Bengal,East,67,Other,Graduate,Retired,Low,Urban,Party E,Yes,3,4,Education,No,Party E,No,9.72,161,Sunny,5,7.3
VOTER_50,Maharashtra,East,21,Female,Higher Secondary,Doctor,Upper Middle,Rural,Party C,Yes,1,4,Crime,Yes,Party B,No,17.28,45,Sunny,1,8.6
VOTER_51,Rajasthan,North,19,Other,Primary,Homemaker,Upper Middle,Rural,Party B,Yes,5,5,Women Safety,No,Party E,Yes,8.87,23,Rainy,3,1.1
VOTER_52,Uttar Pradesh,Central,23,Female,Secondary,Retired,Upper Middle,Urban,Party B,Yes,3,3,Corruption,No,Party A,No,23.84,5,Sunny,2,1.7
VOTER_53,Rajasthan,West,71,Other,Higher Secondary,Retired,Low,Urban,Party C,Yes,5,3,Crime,Yes,Party C,Yes,4.69,67,Sunny,3,1.5
VOTER_54,Uttar Pradesh,South,21,Male,Primary,Student,Low,Rural,Party D,Yes,2,3,Unemployment,Yes,Party E,No,11.61,149,Rainy,2,8.8
VOTER_55,Madhya Pradesh,East,71,Other,Secondary,Doctor,High,Rural,Party C,Yes,5,2,Women Safety,Yes,Party B,Yes,18.1,9,Cloudy,3,1.4
VOTER_56,Uttar Pradesh,West,80,Other,Secondary,Farmer,High,Urban,Party A,No,1,4,Education,Yes,Party E,No,17.42,30,Cloudy,4,4.8
VOTER_57,Karnataka,East,35,Female,Higher Secondary,Business,High,Rural,Party B,Yes,3,1,Crime,Yes,Party E,Yes,13.34,72,Sunny,2,9.0
